diameter
1.3
1.2
1.2
1.3
1.35
1.2
1.4
1.35
1.25
1.4
1.2
1.3
1.2
1.1
1.3
1.0
1.1
1.3
1.4
1.3
1.3
1.25
1.1
1.3
1.3
1.3
1.3
1.3
1.2
1.3
1.3
1.3
1.3
1.2
1.25
1.2
1.4
1.1
1.2
1.3
1.4
1.0
1.2
1.4
1.1
1.2
1.3
1.3
1.2
1.25
1.2
1.3
1.2
1.1
1.2
1.1
1.4
1.1
1.2
1.2
1.3
1.1
1.1
1.2
1.2
1.3
1.3
1.4
1.3
1.2
1.3
1.4
1.2
1.2
1.4
1.4
1.5
1.3
1.3
1.3
1.4
1.3
1.3
1.2
1.35
1.3
1.1
1.1
1.4
1.1
1.3
1.2
1.3
1.2
1.3
1.35
1.3
1.3
1.4
1.4
1.2
1.2
1.4
1.25
